ticker,company_name,sector,price,chg_pct,net_score,bull,bear,verdict,bars,mode,mtf_aligned,mtf_detail,earnings_soon,atr_stop,Candle,Candle_label,Volume,Volume_label,SMA,SMA_label,Gaps,Gaps_label,Stoch,Stoch_label,CCI,CCI_label,RR,RR_label,Rel.Str,Rel.Str_label,VWAP,VWAP_label,News,News_label,gamma_strike,gamma_value,gamma_oi,gamma_pin,gamma_squeeze,gamma_size_mult,gamma_detail,fib_anchor,fib_swing_high,fib_swing_low,fib_direction,fib_entry,fib_entry_label,fib_stop,fib_stop_label,fib_t1,fib_t1_label,fib_t2,fib_t2_label,fib_t3,fib_t3_label,fib_rr_t1,fib_rr_t2,fib_rr_t3,fib_next_target,fib_next_label,fib_support_1,fib_resistance_1,fib_r_R 23p6,fib_r_R 38p2,fib_r_R 50p0,fib_r_R 61p8,fib_r_R 78p6,fib_e_E 100p0,fib_e_E 127p2,fib_e_E 138p2,fib_e_E 161p8,fib_e_E 200p0,fib_e_E 261p8
MU,"Micron Technology, Inc.",Technology,981.61,,7,7,0,Strong bullish,251,Daily,True,,False,871.12,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+3.0% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",980.0,0.0034,1128,YES,,0.75,"⚠ Gamma pin risk: $980.00 strike (0.2% away) γ=0.0034 OI=1,128 — size reduced 75%",session,1089.29,854.35,bullish,999.54,R 38.2%,944.1,R 61.8%,1089.29,E 100.0%,1153.19,E 127.2%,1234.48,E 161.8%,1.62,2.77,4.24,1089.29,E 100.0%,971.82,999.54,1033.84,999.54,971.82,944.1,904.63,1089.29,1153.19,1179.04,1234.48,1324.23,1469.42
FER,Ferrovial SE,Industrials,67.94,,6,6,0,Strong bullish,251,Daily,True,,False,65.64,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross) · Wide,bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,68.02,64.11,bullish,66.52,R 38.2%,65.6,R 61.8%,68.02,E 100.0%,69.08,E 127.2%,70.44,E 161.8%,1.63,2.78,4.26,68.02,E 100.0%,67.1,68.02,67.1,66.52,66.06,65.6,64.94,68.02,69.08,69.52,70.44,71.93,74.35
MPWR,"Monolithic Power Systems, Inc.",Technology,1577.32,,6,7,1,Strong bullish,251,Daily,True,,False,1435.26,bear,Bearish harami,neutral,In line with trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),bull,Outperforming SPY moderately (+2.7% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,1697.35,1405.0,bullish,1585.67,R 38.2%,1516.68,R 61.8%,1697.35,E 100.0%,1776.87,E 127.2%,1878.02,E 161.8%,1.62,2.77,4.24,1697.35,E 100.0%,1551.17,1585.67,1628.36,1585.67,1551.17,1516.68,1467.56,1697.35,1776.87,1809.03,1878.02,1989.7,2170.37
ROP,"Roper Technologies, Inc.",Technology,334.97,,6,6,0,Strong bullish,251,Daily,True,,False,320.15,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,341.31,326.53,bullish,335.66,R 38.2%,332.18,R 61.8%,341.31,E 100.0%,345.33,E 127.2%,350.44,E 161.8%,1.62,2.78,4.25,341.31,E 100.0%,333.92,335.66,337.82,335.66,333.92,332.18,329.69,341.31,345.33,346.96,350.44,356.09,365.22
GEHC,GE HealthCare Technologies Inc.,Healthcare,65.18,,6,6,0,Strong bullish,251,Daily,True,,False,62.44,bull,Bullish bar,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",65.0,0.1377,1479,YES,,0.75,"⚠ Gamma pin risk: $65.00 strike (0.3% away) γ=0.1377 OI=1,479 — size reduced 75%",session,66.41,60.73,bullish,64.24,R 38.2%,62.9,R 61.8%,66.41,E 100.0%,67.95,E 127.2%,69.92,E 161.8%,1.62,2.77,4.24,66.41,E 100.0%,65.07,66.41,65.07,64.24,63.57,62.9,61.95,66.41,67.95,68.58,69.92,72.09,75.6
FAST,Fastenal Company,Industrials,46.57,,5,6,1,Strong bullish,251,Daily,True,,False,45.08,bull,Stale red (3-bar reversal),neutral,Significantly below trend,bull,Near 20-period SMA (above),bear,1 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Breakout above prior resistance,neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",47.5,0.1729,1379,,,1.0,"Nearest strike: $47.50 (2.0% away) γ=0.1729 OI=1,379 — standard sizing",session,47.78,44.62,bullish,46.57,R 38.2%,45.83,R 61.8%,47.78,E 100.0%,48.64,E 127.2%,49.73,E 161.8%,1.64,2.8,4.27,47.78,E 100.0%,46.2,46.57,47.03,46.57,46.2,45.83,45.3,47.78,48.64,48.99,49.73,50.94,52.89
XEL,Xcel Energy Inc.,Utilities,79.22,,5,6,1,Strong bullish,251,Daily,True,,False,76.77,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bear,1 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,79.88,76.62,bullish,78.63,R 38.2%,77.87,R 61.8%,79.88,E 100.0%,80.77,E 127.2%,81.89,E 161.8%,1.64,2.82,4.29,79.88,E 100.0%,79.11,79.88,79.11,78.63,78.25,77.87,77.32,79.88,80.77,81.13,81.89,83.14,85.15
ASML,ASML Holding N.V.,Technology,1863.55,,5,7,2,Strong bullish,251,Daily,True,,False,1737.44,bull,Bullish bar,bull,Above trend,bull,Wide divergence above SMA,bull,11 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+17.5% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,1903.5,1638.38,bullish,1802.22,R 38.2%,1739.66,R 61.8%,1903.5,E 100.0%,1975.61,E 127.2%,2067.34,E 161.8%,1.62,2.77,4.24,1903.5,E 100.0%,1840.93,1903.5,1840.93,1802.22,1770.94,1739.66,1695.12,1903.5,1975.61,2004.78,2067.34,2168.62,2332.46
IDXX,"IDEXX Laboratories, Inc.",Healthcare,560.88,,5,6,1,Strong bullish,251,Daily,True,,False,535.72,bull,Hammer,neutral,In line with trend,bull,Near 20-period SMA (above),bear,3 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,581.47,547.57,bullish,568.52,R 38.2%,560.52,R 61.8%,581.47,E 100.0%,590.69,E 127.2%,602.42,E 161.8%,1.62,2.77,4.24,581.47,E 100.0%,560.52,564.52,573.47,568.52,564.52,560.52,554.82,581.47,590.69,594.42,602.42,615.37,636.32
VRSK,"Verisk Analytics, Inc.",Technology,183.8,,5,6,1,Strong bullish,251,Daily,True,,False,174.39,bull,Bullish engulfing,bull,Above trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,Overbought,bull,Bullish zone,bull,Above SMA (acting as support),neutral,In line with market,neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",190.0,0.0385,5882,,,1.0,"Nearest strike: $190.00 (3.4% away) γ=0.0385 OI=5,882 — standard sizing",multi-day swing (20b),185.27,156.84,bullish,174.41,R 38.2%,167.7,R 61.8%,185.27,E 100.0%,193.0,E 127.2%,202.84,E 161.8%,1.62,2.77,4.24,185.27,E 100.0%,178.56,185.27,178.56,174.41,171.06,167.7,162.92,185.27,193.0,196.13,202.84,213.7,231.27
AMAT,"Applied Materials, Inc.",Technology,567.25,,4,6,2,Strong bullish,251,Daily,True,,False,522.72,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,8 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+28.0% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",560.0,0.008,4969,,YES,1.25,"⚡ Gamma squeeze setup: breaking $560.00 strike γ=0.0080 OI=4,969 — size increased 125%",session,569.95,452.91,bullish,525.24,R 38.2%,497.62,R 61.8%,569.95,E 100.0%,601.78,E 127.2%,642.28,E 161.8%,1.62,2.77,4.24,569.95,E 100.0%,542.33,569.95,542.33,525.24,511.43,497.62,477.96,569.95,601.78,614.66,642.28,686.99,759.32
LIN,Linde plc,Basic Materials,523.57,,4,6,2,Strong bullish,251,Daily,True,,False,507.71,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),bull,3 open gap(s) below (support),bear,Overbought · Wide divergence,bear,Overbought (> +100),bull,Breakout above prior resistance,bull,Outperforming SPY strongly (+7.5% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",540.0,0.0154,1035,,,1.0,"Nearest strike: $540.00 (3.1% away) γ=0.0154 OI=1,035 — standard sizing",session,525.82,494.58,bullish,513.88,R 38.2%,506.51,R 61.8%,525.82,E 100.0%,534.32,E 127.2%,545.13,E 161.8%,1.62,2.77,4.24,525.82,E 100.0%,518.45,525.82,518.45,513.88,510.2,506.51,501.26,525.82,534.32,537.76,545.13,557.06,576.37
WBD,"Warner Bros. Discovery, Inc.",Communication Services,26.98,,4,5,1,Strong bullish,251,Daily,True,,False,26.4,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross) · Wide,bear,Bearish zone,bull,Bounce off prior support,neutral,In line with market,neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",27.0,0.2177,33854,YES,,0.75,"⚠ Gamma pin risk: $27.00 strike (0.1% away) γ=0.2177 OI=33,854 — size reduced 75%",session,27.22,25.91,bullish,26.72,R 38.2%,26.41,R 61.8%,27.22,E 100.0%,27.58,E 127.2%,28.03,E 161.8%,1.61,2.77,4.23,27.22,E 100.0%,26.91,27.22,26.91,26.72,26.56,26.41,26.19,27.22,27.58,27.72,28.03,28.53,29.34
CRWD,"CrowdStrike Holdings, Inc.",Technology,682.8,,4,5,1,Strong bullish,251,Daily,True,,False,629.34,bear,Bearish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term bounce, weak medium-term RS",neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",700.0,0.009,1068,,,1.0,"Nearest strike: $700.00 (2.5% away) γ=0.0090 OI=1,068 — standard sizing",session,767.0,617.74,bullish,709.98,R 38.2%,674.76,R 61.8%,767.0,E 100.0%,807.6,E 127.2%,859.24,E 161.8%,1.62,2.77,4.24,767.0,E 100.0%,674.76,692.37,731.77,709.98,692.37,674.76,649.68,767.0,807.6,824.02,859.24,916.26,1008.5
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,31.71,,4,6,2,Strong bullish,251,Daily,True,,False,30.63,bull,Bullish engulfing,bull,Above trend,bull,Wide divergence above SMA,neutral,Open gaps above and below,bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+7.5% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",32.0,0.3942,1368,YES,,0.75,"⚠ Gamma pin risk: $32.00 strike (0.9% away) γ=0.3942 OI=1,368 — size reduced 75%",session,32.28,30.0,bullish,31.41,R 38.2%,30.87,R 61.8%,32.28,E 100.0%,32.9,E 127.2%,33.69,E 161.8%,1.61,2.76,4.22,32.28,E 100.0%,31.41,31.74,31.74,31.41,31.14,30.87,30.49,32.28,32.9,33.15,33.69,34.56,35.97
DXCM,"DexCom, Inc.",Healthcare,75.37,,4,6,2,Strong bullish,251,Daily,True,,False,71.08,bear,Bearish harami,neutral,Significantly below trend,bull,Near 20-period SMA (above),bear,1 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+4.2% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",75.0,0.0764,1226,YES,,0.75,"⚠ Gamma pin risk: $75.00 strike (0.5% away) γ=0.0764 OI=1,226 — size reduced 75%",session,78.91,71.53,bullish,76.09,R 38.2%,74.35,R 61.8%,78.91,E 100.0%,80.92,E 127.2%,83.47,E 161.8%,1.62,2.78,4.24,78.91,E 100.0%,75.22,76.09,77.17,76.09,75.22,74.35,73.11,78.91,80.92,81.73,83.47,86.29,90.85
TMUS,"T-Mobile US, Inc.",Communication Services,189.1,,4,6,2,Strong bullish,251,Daily,True,,False,181.31,bear,Stale green (3-bar exhaustion),neutral,In line with trend,bull,Near 20-period SMA (above),bear,1 open gap(s) above (resistance),bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),bull,Outperforming SPY moderately (+2.8% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",190.0,0.0574,1750,YES,,0.75,"⚠ Gamma pin risk: $190.00 strike (0.5% away) γ=0.0574 OI=1,750 — size reduced 75%",session,189.64,174.02,bullish,183.67,R 38.2%,179.99,R 61.8%,189.64,E 100.0%,193.89,E 127.2%,199.29,E 161.8%,1.62,2.78,4.24,189.64,E 100.0%,185.95,189.64,185.95,183.67,181.83,179.99,177.36,189.64,193.89,195.61,199.29,205.26,214.91
MAR,"Marriott International, Inc.",Consumer Cyclical,402.54,,4,6,2,Strong bullish,251,Daily,True,,False,389.16,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,3 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+9.1% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,403.25,371.28,bullish,391.04,R 38.2%,383.49,R 61.8%,403.25,E 100.0%,411.95,E 127.2%,423.01,E 161.8%,1.62,2.77,4.23,403.25,E 100.0%,395.71,403.25,395.71,391.04,387.26,383.49,378.12,403.25,411.95,415.46,423.01,435.22,454.98
BKNG,Booking Holdings Inc.,Consumer Cyclical,164.94,,4,5,1,Strong bullish,251,Daily,True,,False,156.03,bear,Bearish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,No open gaps nearby,bull,%K above %D (bullish cross),bull,Bullish zone · Zero-line cross ↑,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",165.0,0.0475,1570,YES,,0.75,"⚠ Gamma pin risk: $165.00 strike (0.0% away) γ=0.0475 OI=1,570 — size reduced 75%",session,171.92,158.12,bullish,166.65,R 38.2%,163.39,R 61.8%,171.92,E 100.0%,175.67,E 127.2%,180.45,E 161.8%,1.62,2.77,4.23,171.92,E 100.0%,163.39,165.02,168.66,166.65,165.02,163.39,161.07,171.92,175.67,177.19,180.45,185.72,194.25
ADP,"Automatic Data Processing, Inc.",Industrials,226.21,,4,5,1,Strong bullish,251,Daily,True,,False,217.18,bull,Bullish bar,neutral,In line with trend,bull,Near 20-period SMA (above),neutral,Open gaps above and below,bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),neutral,"Short-term pullback, medium-term RS intact",neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",,,,,,1.0,No significant gamma strikes near price,session,235.32,221.84,bullish,230.17,R 38.2%,226.99,R 61.8%,235.32,E 100.0%,238.99,E 127.2%,243.66,E 161.8%,1.62,2.77,4.24,235.32,E 100.0%,224.73,226.99,232.14,230.17,228.58,226.99,224.73,235.32,238.99,240.48,243.66,248.81,257.14
CDNS,"Cadence Design Systems, Inc.",Technology,384.96,,4,6,2,Strong bullish,251,Daily,True,,False,360.12,bear,Stale green (3-bar exhaustion),neutral,Significantly below trend,bull,Near 20-period SMA (above),bull,2 open gap(s) below (support),bear,%K below %D (bearish cross),bull,Bullish zone,bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+4.6% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",380.0,0.0148,2391,,YES,1.25,"⚡ Gamma squeeze setup: breaking $380.00 strike γ=0.0148 OI=2,391 — size increased 125%",session,415.83,373.54,bullish,399.68,R 38.2%,389.69,R 61.8%,415.83,E 100.0%,427.33,E 127.2%,441.97,E 161.8%,1.62,2.77,4.23,415.83,E 100.0%,382.59,389.69,405.85,399.68,394.68,389.69,382.59,415.83,427.33,431.98,441.97,458.12,484.26
LRCX,Lam Research Corporation,Technology,366.81,,4,6,2,Strong bullish,251,Daily,True,,False,335.42,bull,Bullish bar,neutral,In line with trend,bull,Wide divergence above SMA,bull,9 open gap(s) below (support),bear,Overbought,bear,Overbought (> +100),bull,Above SMA (acting as support),bull,Outperforming SPY strongly (+17.2% 10-bar),neutral,Intraday only,bull,"Positive sentiment (score=+8, 5 articles)",370.0,0.0125,14045,YES,,0.75,"⚠ Gamma pin risk: $370.00 strike (0.9% away) γ=0.0125 OI=14,045 — size reduced 75%",session,373.82,302.74,bullish,346.67,R 38.2%,329.89,R 61.8%,373.82,E 100.0%,393.15,E 127.2%,417.75,E 161.8%,1.62,2.77,4.24,373.82,E 100.0%,357.05,373.82,357.05,346.67,338.28,329.89,317.95,373.82,393.15,400.97,417.75,444.9,488.83
