# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,60.0,1.5,4.5,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
SNPS,long,2026-01-20,2026-01-21,1,499.6392,522.12,492.14,522.12,2,44.96,4.5,3.0,take_profit,6,83.3,1.0
SNPS,short,2026-01-28,2026-01-28,0,504.3352,511.9,511.9,481.64,1,-7.56,-1.5,-1.0,stop,-4,61.1,0.5
SNPS,short,2026-02-24,2026-02-24,0,418.9706,425.26,425.26,400.12,2,-12.58,-1.5,-1.0,stop,-6,83.3,0.84
SNPS,short,2026-02-27,2026-02-27,0,409.9996,416.15,416.15,391.55,2,-12.3,-1.5,-1.0,stop,-7,100.0,0.82
SNPS,short,2026-03-13,2026-03-13,0,418.591,424.87,424.87,399.75,2,-12.56,-1.5,-1.0,stop,-6,83.3,0.84
SNPS,short,2026-03-20,2026-03-23,1,425.4741,431.86,431.86,406.33,2,-12.77,-1.5,-1.0,stop,-6,83.3,0.85
SNPS,short,2026-05-20,2026-05-20,0,478.8607,486.04,486.04,457.31,2,-14.36,-1.5,-1.0,stop,-4,61.1,0.96
SNPS,long,2026-05-22,2026-05-22,0,510.51,533.48,502.85,533.48,1,22.97,4.5,3.0,take_profit,6,83.3,0.51
SNPS,long,2026-06-03,2026-06-03,0,503.2828,495.73,495.73,525.93,1,-7.55,-1.5,-1.0,stop,5,73.3,0.5
SNPS,short,2026-06-05,2026-06-05,0,487.492,465.55,494.8,465.55,2,43.88,4.5,3.0,take_profit,-4,61.1,0.98
CSCO,long,2025-08-19,2025-09-02,9,65.716,66.67,64.73,68.67,15,14.36,1.46,0.97,signal_flip,4,61.1,0.98
CSCO,long,2025-09-19,2025-09-19,0,67.8422,66.82,66.82,70.9,14,-14.31,-1.51,-1.0,stop,6,88.9,0.95
CSCO,short,2025-09-23,2025-09-25,2,66.3903,66.72,67.39,63.4,15,-4.98,-0.5,-0.33,signal_flip,-6,88.9,1.0
CSCO,short,2025-09-29,2025-09-29,0,66.5278,66.59,67.53,63.53,15,-1.0,-0.1,-0.07,signal_flip,-5,72.2,1.0
CSCO,long,2025-11-11,2025-11-13,2,71.0446,74.24,69.98,74.24,14,44.74,4.5,3.0,take_profit,6,88.9,0.99
CSCO,long,2025-12-01,2025-12-10,7,75.9268,79.34,74.79,79.34,13,44.37,4.5,3.0,take_profit,6,83.3,0.99
CSCO,short,2025-12-18,2025-12-18,0,75.439,76.57,76.57,72.04,13,-14.7,-1.5,-1.0,stop,-4,62.2,0.98
CSCO,long,2025-12-22,2025-12-23,1,78.254,76.78,77.08,81.78,12,-17.68,-1.88,-1.25,gap_stop,7,100.0,0.94
CSCO,long,2025-12-29,2025-12-29,0,77.2736,76.96,76.11,80.75,12,-3.78,-0.41,-0.27,signal_flip,6,83.3,0.93
CSCO,short,2025-12-31,2026-01-02,1,76.4372,75.63,77.58,73.0,13,10.49,1.06,0.71,signal_flip,-4,61.1,1.0
CSCO,short,2026-01-15,2026-01-15,0,74.7398,74.84,75.86,71.38,13,-1.36,-0.14,-0.09,signal_flip,-5,72.2,0.97
CSCO,short,2026-02-24,2026-02-25,1,77.2437,78.4,78.4,73.77,12,-13.88,-1.5,-1.0,stop,-6,83.3,0.93
CSCO,short,2026-02-27,2026-02-27,0,77.1543,78.31,78.31,73.68,12,-13.87,-1.5,-1.0,stop,-6,83.3,0.93
CSCO,short,2026-03-04,2026-03-04,0,78.6944,79.87,79.87,75.15,12,-14.11,-1.49,-1.0,stop,-6,83.3,0.95
CSCO,short,2026-03-09,2026-03-10,1,76.6873,77.84,77.84,73.24,13,-14.99,-1.5,-1.0,stop,-6,83.3,1.0
CSCO,short,2026-03-13,2026-03-13,0,77.5716,78.74,78.74,74.08,12,-14.02,-1.51,-1.0,stop,-6,83.3,0.93
CSCO,long,2026-03-18,2026-03-18,0,79.3896,78.2,78.2,82.96,12,-14.28,-1.5,-1.0,stop,4,61.1,0.95
CSCO,short,2026-03-23,2026-03-23,0,78.138,78.4,79.31,74.62,12,-3.09,-0.33,-0.22,signal_flip,-7,100.0,0.94
CSCO,long,2026-04-07,2026-04-08,1,80.1,83.7,78.9,83.7,12,43.2,4.49,3.0,take_profit,5,72.2,0.96
CSCO,long,2026-04-15,2026-04-15,0,82.6125,81.37,81.37,86.33,12,-14.91,-1.5,-1.0,stop,6,83.3,0.99
CSCO,long,2026-06-01,2026-06-02,1,119.9198,125.32,118.12,125.32,8,43.2,4.5,3.0,take_profit,5,73.3,0.96
TSLA,long,2025-07-28,2025-07-30,2,318.7685,313.99,313.99,333.11,3,-14.34,-1.5,-1.0,stop,4,62.2,0.96
TSLA,long,2025-08-08,2025-08-11,1,321.7514,336.23,316.93,336.23,3,43.44,4.5,3.0,take_profit,5,72.2,0.96
TSLA,long,2025-08-19,2025-08-19,0,336.1258,331.08,331.08,351.25,2,-10.09,-1.5,-1.0,stop,5,72.2,0.67
TSLA,long,2025-08-25,2025-08-26,1,339.2389,351.67,334.15,354.5,2,24.86,3.66,2.44,signal_flip,6,88.9,0.68
TSLA,long,2025-09-05,2025-09-11,4,348.348,364.02,343.12,364.02,2,31.34,4.5,3.0,take_profit,5,72.2,0.7
TSLA,long,2025-10-07,2025-10-07,0,448.2678,441.54,441.54,468.44,2,-13.46,-1.5,-1.0,stop,6,83.3,0.9
TSLA,short,2025-10-17,2025-10-17,0,425.0745,431.45,431.45,405.95,2,-12.75,-1.5,-1.0,stop,-4,61.1,0.85
TSLA,long,2025-10-21,2025-10-22,1,446.2058,439.51,439.51,466.29,2,-13.39,-1.5,-1.0,stop,6,83.3,0.89
TSLA,short,2025-11-10,2025-11-10,0,439.1604,445.75,445.75,419.4,2,-13.18,-1.5,-1.0,stop,-5,77.8,0.88
TSLA,short,2025-12-18,2025-12-18,0,477.6818,484.85,484.85,456.19,2,-14.34,-1.5,-1.0,stop,-4,66.7,0.96
TSLA,short,2026-01-15,2026-01-20,2,440.6889,420.86,447.3,420.86,2,39.66,4.5,3.0,take_profit,-6,83.3,0.88
TSLA,short,2026-01-27,2026-01-29,2,436.9726,417.31,443.53,417.31,2,39.33,4.5,3.0,take_profit,-6,83.3,0.87
TSLA,short,2026-02-13,2026-02-13,0,413.8957,420.1,420.1,395.27,2,-12.41,-1.5,-1.0,stop,-6,83.3,0.83
TSLA,short,2026-02-24,2026-02-24,0,399.1005,405.09,405.09,381.14,2,-11.98,-1.5,-1.0,stop,-5,73.3,0.8
TSLA,short,2026-02-27,2026-03-05,4,402.5371,408.58,408.58,384.42,2,-12.09,-1.5,-1.0,stop,-6,83.3,0.81
TSLA,long,2026-03-12,2026-03-12,0,405.5852,399.5,399.5,423.84,2,-12.17,-1.5,-1.0,stop,4,61.1,0.81
TSLA,long,2026-04-28,2026-04-30,2,375.0547,369.43,369.43,391.93,2,-11.25,-1.5,-1.0,stop,5,72.2,0.75
TSLA,long,2026-05-04,2026-05-06,2,390.6202,384.76,384.76,408.2,2,-11.72,-1.5,-1.0,stop,5,72.2,0.78
TSLA,long,2026-05-21,2026-05-21,0,422.6022,416.26,416.26,441.62,2,-12.68,-1.5,-1.0,stop,5,72.2,0.84
TSLA,long,2026-05-26,2026-06-01,4,430.6903,424.23,424.23,450.07,2,-12.92,-1.5,-1.0,stop,5,72.2,0.86
TSLA,short,2026-06-05,2026-06-05,0,420.0795,401.18,426.38,401.18,2,37.8,4.5,3.0,take_profit,-4,61.1,0.84
PEP,long,2025-07-30,2025-07-31,1,138.4329,135.61,136.36,144.66,7,-19.75,-2.04,-1.36,gap_stop,6,83.3,0.97
PEP,long,2025-08-07,2025-08-13,4,135.9968,142.12,133.96,142.12,7,42.86,4.5,3.01,take_profit,5,72.2,0.95
PEP,long,2025-09-02,2025-09-02,0,151.5954,149.32,149.32,158.42,6,-13.65,-1.5,-1.0,stop,6,83.3,0.91
PEP,short,2025-09-30,2025-09-30,0,136.0145,136.41,138.05,129.89,7,-2.79,-0.29,-0.2,signal_flip,-4,62.2,0.95
PEP,long,2025-10-02,2025-10-06,2,137.9591,135.89,135.89,144.17,7,-14.48,-1.5,-1.0,stop,6,83.3,0.96
PEP,long,2025-10-10,2025-10-15,3,141.5955,147.97,139.47,147.97,7,44.62,4.5,3.0,take_profit,4,62.2,0.99
PEP,short,2025-10-30,2025-11-17,12,142.0016,143.59,144.13,135.61,7,-11.13,-1.12,-0.75,signal_flip,-6,83.3,0.99
PEP,long,2025-11-19,2025-11-19,0,144.1916,142.89,142.03,150.68,6,-7.8,-0.9,-0.6,signal_flip,4,62.2,0.86
PEP,long,2025-11-26,2025-11-28,1,142.2664,144.47,140.13,148.67,7,15.46,1.55,1.03,signal_flip,5,77.8,0.99
PEP,long,2025-12-09,2025-12-09,0,143.6874,141.53,141.53,150.15,6,-12.94,-1.5,-1.0,stop,5,72.2,0.86
PEP,long,2025-12-11,2025-12-12,1,147.4182,147.76,145.21,154.05,6,2.06,0.23,0.16,signal_flip,4,62.2,0.88
PEP,long,2026-01-21,2026-01-21,0,144.3746,142.21,142.21,150.87,6,-12.99,-1.5,-1.0,stop,4,62.2,0.87
PEP,long,2026-02-20,2026-03-03,7,161.6544,161.75,159.23,168.93,6,0.56,0.06,0.04,signal_flip,5,72.2,0.97
PEP,short,2026-03-13,2026-03-20,5,157.9583,150.85,160.33,150.85,6,42.65,4.5,3.0,take_profit,-5,72.2,0.95
PEP,long,2026-03-31,2026-03-31,0,156.1844,153.84,153.84,163.21,6,-14.07,-1.5,-1.0,stop,4,62.2,0.94
PEP,long,2026-04-07,2026-04-07,0,154.7085,152.39,152.39,161.67,6,-13.91,-1.5,-1.0,stop,5,72.2,0.93
PEP,long,2026-04-24,2026-04-24,0,154.4608,153.82,152.14,161.41,6,-3.84,-0.41,-0.28,signal_flip,5,72.2,0.93
PEP,short,2026-04-28,2026-04-28,0,155.0123,154.66,157.34,148.04,6,2.1,0.23,0.15,signal_flip,-5,72.2,0.93
PEP,long,2026-05-01,2026-05-01,0,158.0467,155.68,155.68,165.16,6,-14.2,-1.5,-1.0,stop,6,88.9,0.95
PEP,short,2026-05-11,2026-05-12,1,152.6298,150.27,154.92,145.76,6,14.16,1.55,1.03,signal_flip,-5,72.2,0.92
MU,short,2025-08-01,2025-08-04,1,105.2318,106.81,106.81,100.5,9,-14.2,-1.5,-1.0,stop,-5,73.3,0.95
MU,long,2025-08-11,2025-08-11,0,124.9137,123.04,123.04,130.53,8,-14.99,-1.5,-1.0,stop,5,73.3,1.0
MU,long,2025-08-25,2025-08-25,0,117.627,116.25,115.86,122.92,8,-11.01,-1.17,-0.78,signal_flip,5,72.2,0.94
MU,long,2025-09-24,2025-09-24,0,165.0056,162.53,162.53,172.43,6,-14.85,-1.5,-1.0,stop,5,73.3,0.99
MU,long,2025-09-30,2025-10-01,1,164.0361,171.42,161.58,171.42,6,44.3,4.5,3.01,take_profit,6,83.3,0.98
MU,long,2025-10-24,2025-10-27,1,212.4273,221.99,209.24,221.99,4,38.25,4.5,3.0,take_profit,6,83.3,0.85
MU,long,2025-11-17,2025-11-17,0,246.9634,243.26,243.26,258.08,4,-14.81,-1.5,-1.0,stop,7,100.0,0.99
MU,short,2025-11-19,2025-11-19,0,226.4964,229.89,229.89,216.3,4,-13.57,-1.5,-1.0,stop,-4,62.2,0.91
MU,short,2025-12-05,2025-12-05,0,228.5327,231.96,231.96,218.25,4,-13.71,-1.5,-1.0,stop,-4,61.1,0.91
MU,long,2025-12-19,2025-12-19,0,251.7942,263.12,248.02,263.12,3,33.98,4.5,3.0,take_profit,5,66.7,0.75
MU,long,2026-01-16,2026-01-20,1,353.3047,369.2,348.01,369.2,2,31.79,4.5,3.0,take_profit,6,83.3,0.71
MU,long,2026-02-09,2026-02-09,0,380.9107,375.2,375.2,398.05,2,-11.42,-1.5,-1.0,stop,6,83.3,0.76
MU,long,2026-02-12,2026-02-12,0,422.4948,416.16,416.16,441.51,2,-12.67,-1.5,-1.0,stop,7,100.0,0.84
MU,long,2026-02-19,2026-02-19,0,416.051,409.81,409.81,434.77,2,-12.48,-1.5,-1.0,stop,6,83.3,0.83
MU,short,2026-03-04,2026-03-04,0,393.0812,398.98,398.98,375.39,2,-11.8,-1.5,-1.0,stop,-4,62.2,0.79
MU,short,2026-03-13,2026-03-13,0,413.1627,419.36,419.36,394.57,2,-12.39,-1.5,-1.0,stop,-4,61.1,0.83
MU,long,2026-03-20,2026-03-20,0,444.1773,437.51,437.51,464.17,2,-13.33,-1.5,-1.0,stop,4,62.2,0.89
MU,short,2026-03-24,2026-03-25,1,400.7104,382.68,406.72,382.68,2,36.06,4.5,3.0,take_profit,-4,62.2,0.8
MU,long,2026-05-20,2026-05-20,0,735.695,724.66,724.66,768.8,1,-11.04,-1.5,-1.0,stop,4,62.2,0.73
MU,long,2026-05-22,2026-05-26,1,757.5768,791.67,746.21,791.67,1,34.09,4.5,3.0,take_profit,6,83.3,0.76
MU,long,2026-06-09,2026-06-09,0,989.1682,974.33,974.33,1033.68,1,-14.84,-1.5,-1.0,stop,5,72.2,0.99
MDLZ,short,2025-08-26,2025-09-09,9,60.1852,61.09,61.09,57.48,16,-14.48,-1.5,-1.0,stop,-6,83.3,0.96
MDLZ,short,2025-10-03,2025-10-03,0,60.5125,61.42,61.42,57.79,16,-14.52,-1.5,-1.0,stop,-6,83.3,0.97
MDLZ,short,2025-10-07,2025-10-07,0,60.5616,61.47,61.47,57.84,16,-14.53,-1.5,-1.0,stop,-6,83.3,0.97
MDLZ,short,2025-10-09,2025-10-16,5,60.4929,61.4,61.4,57.77,16,-14.51,-1.5,-1.0,stop,-6,83.3,0.97
MDLZ,short,2025-10-22,2025-10-29,5,60.6891,57.96,61.6,57.96,16,43.67,4.5,3.0,take_profit,-7,100.0,0.97
MDLZ,short,2025-11-14,2025-11-26,8,56.1748,56.2,57.02,53.65,17,-0.45,-0.05,-0.03,signal_flip,-6,83.3,0.96
MDLZ,short,2025-12-02,2025-12-10,6,55.3504,52.86,56.18,52.86,18,44.83,4.5,3.0,take_profit,-5,73.3,1.0
MDLZ,short,2025-12-16,2026-01-07,14,53.7017,51.29,54.51,51.29,18,43.41,4.49,2.98,take_profit,-5,73.3,0.97
MDLZ,long,2026-02-02,2026-02-03,1,58.3833,57.51,57.51,61.01,17,-14.85,-1.5,-1.0,stop,5,72.2,0.99
MDLZ,long,2026-02-24,2026-02-25,1,59.8422,59.6,58.94,62.54,16,-3.81,-0.4,-0.26,signal_flip,5,72.2,0.96
MDLZ,long,2026-03-02,2026-03-02,0,60.6957,59.79,59.79,63.43,16,-14.49,-1.49,-1.0,stop,6,88.9,0.97
MDLZ,short,2026-03-19,2026-03-24,3,55.9887,56.83,56.83,53.47,17,-14.3,-1.5,-1.0,stop,-5,72.2,0.95
MDLZ,long,2026-03-27,2026-04-10,9,57.1428,59.0,56.29,59.71,17,31.57,3.25,2.18,signal_flip,5,72.2,0.97
MDLZ,long,2026-04-27,2026-04-27,0,57.3573,57.42,56.5,59.94,17,1.07,0.11,0.07,signal_flip,6,88.9,0.97
MDLZ,long,2026-05-14,2026-05-14,0,61.8318,60.9,60.9,64.61,16,-14.91,-1.51,-1.0,stop,5,73.3,0.99
MDLZ,long,2026-05-19,2026-05-26,4,61.5615,61.24,60.64,64.33,16,-5.14,-0.52,-0.35,signal_flip,6,83.3,0.98
MDLZ,short,2026-06-01,2026-06-01,0,60.5594,61.05,61.47,57.83,16,-7.85,-0.81,-0.54,signal_flip,-5,77.8,0.97
MDLZ,short,2026-06-05,2026-06-05,0,61.0889,62.01,62.01,58.34,16,-14.74,-1.51,-1.0,stop,-4,61.1,0.98
AMD,long,2025-08-04,2025-08-05,1,174.7846,172.16,172.16,182.65,5,-13.12,-1.5,-1.0,stop,5,73.3,0.87
AMD,long,2025-08-08,2025-08-08,0,174.214,171.6,171.6,182.05,5,-13.07,-1.5,-1.0,stop,7,100.0,0.87
AMD,long,2025-08-13,2025-08-15,2,180.0899,177.39,177.39,188.19,5,-13.5,-1.5,-1.0,stop,6,83.3,0.9
AMD,short,2025-09-12,2025-09-12,0,156.843,159.2,159.2,149.79,6,-14.14,-1.5,-1.0,stop,-5,72.2,0.94
AMD,short,2025-09-18,2025-09-18,0,150.809,153.07,153.07,144.02,6,-13.57,-1.5,-1.0,stop,-5,72.2,0.91
AMD,long,2025-09-30,2025-10-01,1,160.9508,164.01,158.54,168.19,6,18.36,1.9,1.27,signal_flip,5,72.2,0.96
AMD,long,2025-10-15,2025-10-15,0,222.9327,232.96,219.59,232.96,4,40.11,4.5,3.0,take_profit,6,83.3,0.89
AMD,long,2025-11-06,2025-11-06,0,253.7235,249.92,249.92,265.14,3,-11.41,-1.5,-1.0,stop,6,83.3,0.76
AMD,long,2025-11-11,2025-11-11,0,241.9017,238.27,238.27,252.79,4,-14.53,-1.5,-1.0,stop,4,61.1,0.97
AMD,long,2025-11-13,2025-11-13,0,252.1519,248.37,248.37,263.5,3,-11.35,-1.5,-1.0,stop,5,73.3,0.76
AMD,short,2025-11-18,2025-11-18,0,236.5432,225.9,240.09,225.9,4,42.57,4.5,3.0,take_profit,-4,61.1,0.95
AMD,short,2025-12-03,2025-12-05,2,216.0437,219.28,219.28,206.32,4,-12.95,-1.5,-1.0,stop,-4,61.1,0.87
AMD,short,2025-12-15,2025-12-15,0,212.0677,215.25,215.25,202.52,4,-12.73,-1.5,-1.0,stop,-4,61.1,0.85
AMD,long,2025-12-24,2025-12-29,2,215.195,211.58,211.97,224.88,4,-14.46,-1.68,-1.12,gap_stop,6,83.3,0.86
AMD,short,2026-01-07,2026-01-08,1,211.9179,204.68,215.1,202.38,4,28.95,3.42,2.27,signal_flip,-4,62.2,0.85
AMD,long,2026-01-14,2026-01-15,1,217.7575,227.56,214.49,227.56,4,39.21,4.5,3.0,take_profit,7,100.0,0.87
AMD,short,2026-02-12,2026-02-12,0,215.6142,205.91,218.85,205.91,4,38.82,4.5,3.0,take_profit,-6,83.3,0.86
AMD,long,2026-03-11,2026-03-12,1,205.3151,202.24,202.24,214.55,4,-12.3,-1.5,-1.0,stop,4,61.1,0.82
AMD,short,2026-03-31,2026-03-31,0,197.852,200.82,200.82,188.95,5,-14.84,-1.5,-1.0,stop,-5,73.3,0.99
AMD,long,2026-04-02,2026-04-02,0,204.2541,201.19,201.19,213.45,4,-12.26,-1.5,-1.0,stop,6,88.9,0.82
AMD,long,2026-05-06,2026-05-06,0,409.8995,403.75,403.75,428.34,2,-12.3,-1.5,-1.0,stop,5,73.3,0.82
AMAT,short,2025-08-12,2025-08-12,0,184.1931,186.96,186.96,175.9,5,-13.83,-1.5,-1.0,stop,-4,62.2,0.92
AMAT,short,2025-08-18,2025-08-18,0,160.471,162.88,162.88,153.25,6,-14.45,-1.5,-1.0,stop,-5,73.3,0.96
AMAT,short,2025-09-22,2025-09-22,0,192.1404,195.02,195.02,183.49,5,-14.4,-1.5,-1.0,stop,-4,66.7,0.96
AMAT,long,2025-10-15,2025-10-15,0,223.1892,219.84,219.84,233.23,4,-13.4,-1.5,-1.0,stop,6,83.3,0.89
AMAT,short,2025-11-19,2025-11-19,0,226.0552,229.45,229.45,215.88,4,-13.58,-1.5,-1.0,stop,-5,77.8,0.91
AMAT,short,2025-11-21,2025-11-21,0,218.4365,221.71,221.71,208.61,4,-13.09,-1.5,-1.0,stop,-5,77.8,0.87
AMAT,short,2026-01-02,2026-01-02,0,266.1497,270.14,270.14,254.17,3,-11.97,-1.5,-1.0,stop,-5,72.2,0.8
AMAT,short,2026-03-13,2026-03-13,0,341.7027,346.83,346.83,326.33,2,-10.25,-1.5,-1.0,stop,-5,72.2,0.68
AMAT,short,2026-03-27,2026-03-27,0,336.8736,341.93,341.93,321.71,2,-10.11,-1.5,-1.0,stop,-6,88.9,0.67
AMAT,long,2026-04-02,2026-04-02,0,337.9179,353.12,332.85,353.12,2,30.4,4.5,3.0,take_profit,5,72.2,0.68
AMAT,long,2026-04-07,2026-04-08,1,348.0654,363.73,342.84,363.73,2,31.33,4.5,3.0,take_profit,5,72.2,0.7
AMAT,long,2026-05-01,2026-05-05,2,389.3554,406.88,383.52,406.88,2,35.05,4.5,3.0,take_profit,7,100.0,0.78
AMAT,long,2026-05-18,2026-05-18,0,441.2028,434.58,434.58,461.06,2,-13.25,-1.5,-1.0,stop,5,73.3,0.88
AMAT,long,2026-05-21,2026-05-26,2,424.6142,443.72,418.24,443.72,2,38.21,4.5,3.0,take_profit,6,83.3,0.85
COST,short,2025-08-06,2025-08-06,0,938.7082,952.79,952.79,896.47,1,-14.08,-1.5,-1.0,stop,-6,88.9,0.94
COST,short,2025-08-25,2025-08-25,0,949.9791,937.61,964.23,907.23,1,12.37,1.3,0.87,signal_flip,-6,88.9,0.95
COST,long,2025-08-27,2025-08-27,0,937.4577,945.51,923.4,979.64,1,8.06,0.86,0.57,signal_flip,4,66.7,0.94
COST,long,2025-09-15,2025-09-15,0,964.6995,956.05,950.23,1008.11,1,-8.65,-0.9,-0.6,signal_flip,6,83.3,0.96
COST,short,2025-09-17,2025-09-17,0,948.5168,958.97,962.74,905.83,1,-10.45,-1.1,-0.73,signal_flip,-5,72.2,0.95
COST,short,2025-09-19,2025-09-26,5,950.0189,907.27,964.27,907.27,1,42.75,4.5,3.0,take_profit,-4,61.1,0.95
COST,long,2025-10-10,2025-10-10,0,941.3749,927.25,927.25,983.74,1,-14.12,-1.5,-1.0,stop,5,66.7,0.94
COST,long,2025-10-22,2025-10-27,3,936.9692,922.91,922.91,979.13,1,-14.06,-1.5,-1.0,stop,6,83.3,0.94
COST,long,2025-11-05,2025-11-06,1,938.2948,921.76,924.22,980.52,1,-16.53,-1.76,-1.17,gap_stop,5,72.2,0.94
COST,short,2025-12-05,2025-12-11,4,893.8329,881.99,907.24,853.61,1,11.84,1.32,0.88,signal_flip,-7,100.0,0.89
COST,short,2026-01-02,2026-01-05,1,857.8604,870.73,870.73,819.26,1,-12.87,-1.5,-1.0,stop,-5,72.2,0.86
COST,long,2026-02-03,2026-02-09,4,963.9157,1007.29,949.46,1007.29,1,43.37,4.5,3.0,take_profit,6,83.3,0.96
COST,long,2026-03-02,2026-03-05,3,1010.4547,995.06,995.3,1055.93,1,-15.4,-1.52,-1.02,gap_stop,7,100.0,1.01
COST,long,2026-03-10,2026-03-11,1,1000.0494,990.79,985.05,1045.05,1,-9.26,-0.93,-0.62,signal_flip,7,100.0,1.0
COST,short,2026-03-23,2026-03-23,0,983.2576,964.33,998.01,939.01,1,18.93,1.92,1.28,signal_flip,-4,62.2,0.98
COST,long,2026-03-31,2026-04-06,3,996.5509,1017.07,981.6,1041.4,1,20.52,2.06,1.37,signal_flip,5,66.7,1.0
COST,short,2026-04-14,2026-04-14,0,971.2969,973.39,985.87,927.59,1,-2.09,-0.22,-0.14,signal_flip,-6,88.9,0.97
COST,long,2026-05-01,2026-05-01,0,1016.3954,1011.7,1001.15,1062.13,1,-4.7,-0.46,-0.31,signal_flip,4,62.2,1.02
COST,short,2026-05-07,2026-05-07,0,992.5065,1007.39,1007.39,947.84,1,-14.88,-1.5,-1.0,stop,-6,88.9,0.99
COST,short,2026-05-12,2026-05-12,0,1001.5374,1016.56,1016.56,956.47,1,-15.02,-1.5,-1.0,stop,-6,88.9,1.0
REGN,short,2025-08-01,2025-08-01,0,579.2527,553.19,587.94,553.19,1,26.06,4.5,3.0,take_profit,-4,62.2,0.58
REGN,long,2025-08-05,2025-08-06,1,567.7092,559.19,559.19,593.26,1,-8.52,-1.5,-1.0,stop,4,62.2,0.57
REGN,short,2025-08-12,2025-08-12,0,544.4088,552.57,552.57,519.91,1,-8.16,-1.5,-1.0,stop,-4,62.2,0.54
REGN,long,2025-08-14,2025-08-18,2,558.401,571.65,550.02,583.53,1,13.25,2.37,1.58,signal_flip,6,88.9,0.56
REGN,long,2025-08-27,2025-08-28,1,590.1277,581.28,581.28,616.68,1,-8.85,-1.5,-1.0,stop,6,88.9,0.59
REGN,short,2025-09-04,2025-09-04,0,565.2064,573.68,573.68,539.77,1,-8.47,-1.5,-1.0,stop,-4,62.2,0.57
REGN,short,2025-09-24,2025-09-24,0,565.0869,573.56,573.56,539.66,1,-8.47,-1.5,-1.0,stop,-7,100.0,0.57
REGN,short,2025-09-26,2025-09-30,2,559.226,567.61,567.61,534.06,1,-8.38,-1.5,-1.0,stop,-5,73.3,0.56
REGN,short,2025-10-13,2025-10-13,0,548.7778,557.01,557.01,524.08,1,-8.23,-1.5,-1.0,stop,-6,88.9,0.55
REGN,short,2025-10-17,2025-10-17,0,567.5347,576.05,576.05,542.0,1,-8.52,-1.5,-1.0,stop,-5,72.2,0.57
REGN,long,2025-10-22,2025-10-23,1,578.502,573.42,569.82,604.53,1,-5.08,-0.88,-0.59,signal_flip,5,72.2,0.58
REGN,long,2025-10-28,2025-10-28,0,610.2183,637.68,601.07,637.68,1,27.46,4.5,3.0,take_profit,6,88.9,0.61
REGN,long,2025-11-06,2025-11-11,3,638.9435,667.7,629.36,667.7,1,28.76,4.5,3.0,take_profit,6,83.3,0.64
REGN,long,2025-12-12,2025-12-22,6,740.334,773.65,729.23,773.65,1,33.32,4.5,3.0,take_profit,6,83.3,0.74
REGN,long,2026-01-07,2026-01-08,1,784.8485,798.85,773.08,820.17,1,14.01,1.78,1.19,signal_flip,5,64.4,0.78
REGN,long,2026-01-28,2026-01-28,0,763.854,752.4,752.4,798.23,1,-11.45,-1.5,-1.0,stop,5,72.2,0.76
REGN,short,2026-01-30,2026-01-30,0,751.1792,762.45,762.45,717.38,1,-11.27,-1.5,-1.0,stop,-5,72.2,0.75
REGN,long,2026-02-12,2026-02-12,0,783.4708,781.54,771.72,818.73,1,-1.93,-0.25,-0.16,signal_flip,4,62.2,0.78
REGN,long,2026-02-24,2026-02-24,0,780.0853,768.38,768.38,815.19,1,-11.71,-1.5,-1.0,stop,5,72.2,0.78
REGN,long,2026-02-26,2026-02-26,0,783.8935,772.14,772.14,819.17,1,-11.75,-1.5,-1.0,stop,5,72.2,0.78
REGN,long,2026-03-02,2026-03-03,1,770.7199,765.52,759.16,805.4,1,-5.2,-0.68,-0.45,signal_flip,5,72.2,0.77
REGN,long,2026-03-05,2026-03-05,0,779.6156,767.92,767.92,814.7,1,-11.7,-1.5,-1.0,stop,5,72.2,0.78
REGN,short,2026-04-23,2026-04-23,0,749.1201,760.36,760.36,715.41,1,-11.24,-1.5,-1.0,stop,-4,62.2,0.75
REGN,short,2026-04-27,2026-04-27,0,743.6138,754.77,754.77,710.15,1,-11.16,-1.5,-1.0,stop,-6,88.9,0.74
REGN,short,2026-05-08,2026-05-11,1,707.5239,718.14,718.14,675.69,1,-10.62,-1.5,-1.0,stop,-5,72.2,0.71
REGN,short,2026-05-14,2026-05-18,2,717.2098,684.94,727.97,684.94,1,32.27,4.5,3.0,take_profit,-4,62.2,0.72
WDC,long,2025-08-11,2025-08-20,7,75.1915,74.06,74.06,78.58,13,-14.71,-1.5,-1.0,stop,6,83.3,0.98
WDC,long,2025-08-25,2025-08-27,2,76.8387,80.3,75.69,80.3,13,45.0,4.5,3.01,take_profit,6,83.3,1.0
WDC,long,2025-10-14,2025-10-14,0,116.0469,114.31,114.31,121.27,8,-13.9,-1.5,-1.0,stop,6,83.3,0.93
WDC,long,2025-10-16,2025-10-16,0,123.203,128.75,121.35,128.75,8,44.38,4.5,2.99,take_profit,6,83.3,0.98
