# BACKTEST CONFIG
min_score,conviction,stop_pct,tp_pct,direction,size_usd,slippage_pct,signal_flip,gap_stop,max_hold
4,60.0,1.5,4.5,both,1000.0,0.1,True,True,20

# PER-TICKER SUMMARY
ticker,trades,wins,losses,win_rate_pct,avg_r,expectancy,total_pnl_usd,avg_pnl_pct,max_drawdown_pct,avg_hold_bars,profit_factor,total_slippage_usd,bars_tested,compute_secs,exit_stop,exit_gap_stop,exit_take_profit,exit_signal_flip,exit_max_hold
STX,14,2,12,14.3,-0.37,-4.2,-58.75,-0.55,5.9,0.1,0.57,11.47,251,0.11,11,0,2,1,0
TRI,18,4,14,22.2,-0.32,-4.2,-75.64,-0.48,10.0,1.2,0.58,16.66,251,0.1,11,0,2,5,0
FTNT,24,6,18,25.0,-0.32,-4.55,-109.19,-0.48,21.9,0.5,0.57,23.05,251,0.1,15,1,2,6,0
CPRT,22,6,16,27.3,-0.31,-4.62,-101.68,-0.47,13.3,0.7,0.66,21.58,251,0.1,13,1,4,4,0
GILD,22,5,17,22.7,-0.32,-4.68,-103.02,-0.48,19.7,1.3,0.57,20.59,251,0.1,11,3,2,6,0
MCHP,26,6,20,23.1,-0.32,-4.68,-121.61,-0.47,14.2,0.7,0.61,25.11,251,0.1,18,2,4,2,0
AMZN,23,5,18,21.7,-0.36,-4.96,-114.02,-0.55,14.7,0.9,0.53,20.28,251,0.11,15,2,3,3,0
CEG,29,4,25,13.8,-0.4,-5.16,-149.56,-0.61,20.0,0.2,0.48,23.21,251,0.11,23,0,4,2,0
META,17,3,14,17.6,-0.55,-5.16,-87.64,-0.82,9.8,1.5,0.4,10.99,251,0.11,11,1,2,3,0
DDOG,21,6,15,28.6,-0.36,-5.27,-110.76,-0.55,17.6,0.4,0.65,19.87,251,0.13,13,1,4,3,0
ROST,11,1,10,9.1,-0.4,-5.47,-60.16,-0.6,6.8,3.3,0.4,9.99,251,0.1,7,0,1,3,0
DXCM,25,4,21,16.0,-0.37,-5.49,-137.21,-0.55,20.5,1.0,0.55,24.1,251,0.1,19,2,4,0,0
CHTR,17,3,14,17.6,-0.41,-5.51,-93.7,-0.62,9.4,0.9,0.46,14.68,251,0.11,12,0,2,3,0
CCEP,19,6,13,31.6,-0.4,-5.62,-106.8,-0.6,12.7,2.1,0.53,18.14,251,0.11,10,1,1,7,0
ABNB,24,5,19,20.8,-0.4,-5.8,-139.15,-0.6,15.9,0.7,0.49,22.79,251,0.1,19,0,1,4,0
VRTX,24,6,18,25.0,-0.45,-6.11,-146.53,-0.67,17.3,2.0,0.55,20.83,251,0.1,15,1,3,5,0
ADI,21,3,18,14.3,-0.45,-6.13,-128.81,-0.67,16.8,1.5,0.47,18.51,251,0.19,12,2,3,4,0
CDNS,26,4,22,15.4,-0.49,-6.23,-161.94,-0.74,22.1,0.8,0.38,21.51,251,0.1,20,0,2,4,0
INTC,29,5,24,17.2,-0.43,-6.28,-182.22,-0.65,23.3,0.3,0.55,28.39,251,0.13,22,2,5,0,0
MRVL,19,3,16,15.8,-0.44,-6.3,-119.69,-0.66,23.2,0.3,0.51,17.77,251,0.11,13,3,3,0,0
AXON,16,3,13,18.8,-0.53,-6.47,-103.55,-0.8,13.4,0.3,0.48,11.94,251,0.11,10,1,3,2,0
DASH,22,3,19,13.6,-0.44,-6.54,-143.97,-0.66,16.9,0.5,0.43,19.52,251,0.1,18,0,3,1,0
ADBE,20,2,18,10.0,-0.56,-6.76,-135.14,-0.84,13.5,0.8,0.34,16.6,251,0.11,13,2,1,4,0
WMT,18,3,15,16.7,-0.49,-7.16,-128.8,-0.73,16.1,1.0,0.41,17.05,251,0.1,12,2,1,3,0
SBUX,21,5,16,23.8,-0.52,-7.83,-164.51,-0.78,16.5,1.1,0.39,20.26,251,0.1,12,3,1,5,0
FER,17,3,14,17.6,-0.54,-8.08,-137.43,-0.8,14.8,1.8,0.44,16.59,251,0.11,4,7,2,4,0
CSX,16,4,12,25.0,-0.56,-8.33,-133.36,-0.84,13.8,1.7,0.17,15.73,251,0.1,8,2,0,6,0
KHC,26,5,21,19.2,-0.57,-8.38,-218.01,-0.85,21.8,0.7,0.22,25.71,251,0.11,16,1,0,9,0
WBD,18,3,15,16.7,-0.72,-10.81,-194.55,-1.09,21.1,1.7,0.17,17.79,251,0.1,9,1,0,8,0
PYPL,15,2,13,13.3,-0.98,-14.23,-213.48,-1.46,25.7,0.7,0.19,14.48,251,0.14,12,1,1,1,0

# AGGREGATE
tickers_tested,profitable,total_trades,win_rate,avg_r,expectancy,total_pnl,avg_win,avg_loss,total_slippage,elapsed_secs
101,35,2020,27.6,-0.1,-1.48,-2982.35,31.09,-13.91,1866.03,24.4

# ALL TRADES
ticker,side,entry_date,exit_date,hold_bars,entry_price,exit_price,stop_loss,take_profit,qty,pnl_usd,pnl_pct,r_multiple,exit_reason,entry_score,conviction_pct,slippage_usd
APP,long,2025-08-19,2025-08-19,0,431.0707,424.6,424.6,450.47,2,-12.94,-1.5,-1.0,stop,5,72.2,0.86
APP,long,2025-08-22,2025-08-22,0,419.1788,412.89,412.89,438.04,2,-12.58,-1.5,-1.0,stop,5,72.2,0.84
APP,short,2025-10-10,2025-10-10,0,599.0104,572.05,608.0,572.05,1,26.96,4.5,3.0,take_profit,-4,61.1,0.6
APP,long,2025-11-06,2025-11-06,0,652.1214,642.34,642.34,681.47,1,-9.78,-1.5,-1.0,stop,5,73.3,0.65
APP,long,2025-11-10,2025-11-10,0,636.586,665.23,627.04,665.23,1,28.64,4.5,3.0,take_profit,7,100.0,0.64
APP,short,2025-11-12,2025-11-13,1,601.398,574.34,610.42,574.34,1,27.06,4.5,3.0,take_profit,-5,77.8,0.6
APP,long,2025-12-19,2025-12-22,1,702.702,734.32,692.16,734.32,1,31.62,4.5,3.0,take_profit,6,83.3,0.7
APP,short,2025-12-31,2026-01-02,1,693.0163,661.83,703.41,661.83,1,31.19,4.5,3.0,take_profit,-5,72.2,0.69
APP,short,2026-01-15,2026-01-16,1,625.7786,597.62,635.17,597.62,1,28.16,4.5,3.0,take_profit,-4,62.2,0.63
APP,short,2026-02-12,2026-02-12,0,403.596,385.43,409.65,385.43,2,36.33,4.5,3.0,take_profit,-6,88.9,0.81
APP,long,2026-03-16,2026-03-16,0,461.3008,454.38,454.38,482.06,2,-13.84,-1.5,-1.0,stop,4,61.1,0.92
APP,short,2026-04-09,2026-04-09,0,393.7459,376.03,399.65,376.03,2,35.43,4.5,3.0,take_profit,-6,88.9,0.79
APP,long,2026-04-14,2026-04-15,1,428.9736,448.28,422.54,448.28,2,38.61,4.5,3.0,take_profit,5,73.3,0.86
APP,long,2026-04-28,2026-04-28,0,455.455,448.62,448.62,475.95,2,-13.67,-1.5,-1.0,stop,6,83.3,0.91
APP,short,2026-05-14,2026-05-14,0,452.1074,458.89,458.89,431.76,2,-13.57,-1.5,-1.0,stop,-5,77.8,0.91
APP,long,2026-06-09,2026-06-09,0,558.7181,550.34,550.34,583.86,1,-8.38,-1.5,-1.0,stop,6,83.3,0.56
NFLX,long,2025-08-11,2025-08-13,2,121.5224,120.44,119.7,126.99,8,-8.63,-0.89,-0.59,signal_flip,5,72.2,0.97
NFLX,long,2025-08-26,2025-08-29,3,122.143,120.31,120.31,127.64,8,-14.66,-1.5,-1.0,stop,5,72.2,0.98
NFLX,long,2025-09-04,2025-09-05,1,122.4423,124.38,120.61,127.95,8,15.52,1.58,1.06,signal_flip,5,72.2,0.98
NFLX,short,2025-09-12,2025-09-15,1,120.1857,120.23,121.99,114.78,8,-0.32,-0.03,-0.02,signal_flip,-6,88.9,0.96
NFLX,short,2025-09-19,2025-09-19,0,121.7401,122.7,123.57,116.26,8,-7.66,-0.79,-0.52,signal_flip,-6,88.9,0.98
NFLX,short,2025-09-24,2025-10-02,6,121.7391,116.26,123.57,116.26,8,43.83,4.5,2.99,take_profit,-5,72.2,0.98
NFLX,long,2025-10-21,2025-10-21,0,124.4073,124.14,122.54,130.01,8,-2.18,-0.22,-0.15,signal_flip,5,73.3,0.99
NFLX,short,2025-10-23,2025-11-05,9,112.5773,107.51,114.27,107.51,8,40.54,4.5,2.99,take_profit,-5,73.3,0.9
NFLX,short,2025-11-17,2025-11-18,1,110.6393,112.3,112.3,105.66,9,-14.95,-1.5,-1.0,stop,-6,83.3,1.0
NFLX,short,2025-11-20,2025-11-20,0,110.889,105.9,112.55,105.9,9,44.9,4.5,3.0,take_profit,-6,83.3,1.0
NFLX,short,2025-12-31,2026-01-09,6,93.5064,89.3,94.91,89.3,10,42.06,4.5,3.0,take_profit,-6,83.3,0.94
NFLX,short,2026-01-29,2026-02-03,3,84.2257,80.44,85.49,80.44,11,41.64,4.49,2.99,take_profit,-6,83.3,0.93
NFLX,long,2026-02-26,2026-02-27,1,83.2832,87.03,82.03,87.03,12,44.96,4.5,2.99,take_profit,6,88.9,1.0
NFLX,long,2026-04-01,2026-04-01,0,96.5665,95.12,95.12,100.91,10,-14.47,-1.5,-1.0,stop,5,73.3,0.96
NFLX,short,2026-04-21,2026-04-27,4,93.906,91.37,95.31,89.68,10,25.36,2.7,1.81,signal_flip,-4,62.2,0.94
NFLX,short,2026-05-21,2026-05-21,0,87.942,89.26,89.26,83.98,11,-14.5,-1.5,-1.0,stop,-6,83.3,0.97
NFLX,short,2026-05-27,2026-05-27,0,86.963,88.27,88.27,83.05,11,-14.38,-1.5,-1.0,stop,-6,83.3,0.96
INSM,long,2025-09-19,2025-09-19,0,145.6555,143.47,143.47,152.21,6,-13.11,-1.5,-1.0,stop,6,83.3,0.87
INSM,long,2025-09-23,2025-09-24,1,144.8547,142.68,142.68,151.37,6,-13.05,-1.5,-1.0,stop,5,73.3,0.87
INSM,long,2025-10-24,2025-10-24,0,162.0018,159.57,159.57,169.29,6,-14.59,-1.5,-1.0,stop,5,73.3,0.97
INSM,long,2025-10-28,2025-10-30,2,164.184,171.57,161.72,171.57,6,44.32,4.5,3.0,take_profit,6,83.3,0.98
INSM,long,2025-11-17,2025-11-18,1,192.7726,201.45,189.88,201.45,5,43.39,4.5,3.0,take_profit,4,62.2,0.96
INSM,short,2025-12-16,2025-12-16,0,195.1946,198.12,198.12,186.41,5,-14.63,-1.5,-1.0,stop,-4,62.2,0.98
INSM,short,2025-12-18,2025-12-18,0,167.5822,170.1,170.1,160.04,5,-12.59,-1.5,-1.0,stop,-6,88.9,0.84
INSM,short,2025-12-30,2026-01-05,3,175.6142,167.71,178.25,167.71,5,39.52,4.5,3.0,take_profit,-5,72.2,0.88
INSM,short,2026-01-12,2026-01-12,0,174.6851,166.82,177.31,166.82,5,39.33,4.5,3.0,take_profit,-4,62.2,0.87
INSM,short,2026-02-26,2026-02-26,0,146.853,149.06,149.06,140.24,6,-13.24,-1.5,-1.0,stop,-7,100.0,0.88
INSM,short,2026-03-02,2026-03-04,2,146.9529,149.16,149.16,140.34,6,-13.24,-1.5,-1.0,stop,-5,73.3,0.88
INSM,short,2026-05-07,2026-05-07,0,116.7931,118.54,118.54,111.54,8,-13.98,-1.5,-1.0,stop,-5,64.4,0.94
INSM,short,2026-05-15,2026-05-15,0,114.1857,109.05,115.9,109.05,8,41.09,4.5,3.0,take_profit,-6,83.3,0.91
INSM,short,2026-06-01,2026-06-02,1,105.9839,101.21,107.57,101.21,9,42.97,4.5,3.01,take_profit,-6,83.3,0.95
QCOM,long,2025-08-14,2025-08-28,10,151.8543,157.48,149.58,158.69,6,33.76,3.71,2.47,signal_flip,4,61.1,0.91
QCOM,short,2025-09-08,2025-09-09,1,157.7168,156.27,160.08,150.62,6,8.69,0.92,0.61,signal_flip,-4,66.7,0.95
QCOM,long,2025-09-11,2025-09-12,1,156.948,159.39,154.59,164.01,6,14.66,1.56,1.04,signal_flip,4,62.2,0.94
QCOM,long,2025-10-06,2025-10-06,0,168.1382,165.62,165.62,175.7,5,-12.59,-1.5,-1.0,stop,6,83.3,0.84
QCOM,long,2025-11-06,2025-11-06,0,175.2959,172.67,172.67,183.18,5,-13.13,-1.5,-1.0,stop,6,88.9,0.88
QCOM,long,2025-11-13,2025-11-13,0,174.1424,171.53,171.53,181.98,5,-13.06,-1.5,-1.0,stop,5,72.2,0.87
QCOM,long,2025-12-22,2025-12-22,0,175.9538,173.31,173.31,183.87,5,-13.22,-1.5,-1.0,stop,6,88.9,0.88
QCOM,short,2026-01-13,2026-01-16,3,165.1389,157.71,167.62,157.71,6,44.57,4.5,2.99,take_profit,-4,62.2,0.99
QCOM,short,2026-02-13,2026-02-13,0,135.6081,137.64,137.64,129.51,7,-14.22,-1.5,-1.0,stop,-5,73.3,0.95
QCOM,short,2026-02-20,2026-02-20,0,138.763,140.84,140.84,132.52,7,-14.54,-1.5,-1.0,stop,-6,83.3,0.97
QCOM,short,2026-02-24,2026-02-24,0,140.9881,143.1,143.1,134.64,7,-14.78,-1.5,-1.0,stop,-6,83.3,0.99
QCOM,short,2026-03-02,2026-03-02,0,136.3103,138.35,138.35,130.18,7,-14.28,-1.5,-1.0,stop,-6,83.3,0.96
QCOM,short,2026-03-23,2026-03-27,4,132.5274,126.56,134.52,126.56,7,41.77,4.5,2.99,take_profit,-5,73.3,0.93
QCOM,long,2026-05-22,2026-05-22,0,213.8546,223.48,210.65,223.48,4,38.5,4.5,3.0,take_profit,5,72.2,0.85
QCOM,long,2026-06-03,2026-06-03,0,234.3893,244.94,230.87,244.94,4,42.2,4.5,3.0,take_profit,6,83.3,0.94
